post_id,run_id,scraped_at,price,year,make,model,mileage,transmission,fuel_type,drive_type,vehicle_type,color,condition,title_status,source_txt
7914556203,20260304110036,2026-03-04T11:00:36Z,17980,2015,Ford,F-150,122461,,,,,,,,scrapes/20260304110036/7914556203.txt
7914820691,20260305100033,2026-03-05T10:00:33Z,27000,1995,chevrolet,corvette zr1,79240,,,,,,,,scrapes/20260305100033/7914820691.txt
7914891047,20260305170006,2026-03-05T17:00:06Z,3650,2009,Ford,Flex,152470,,,,,,,,scrapes/20260305170006/7914891047.txt
7915032216,20260305130008,2026-03-05T13:00:08Z,3288,2002,Dodge,Neon,150000,,,,,,,,scrapes/20260305130008/7915032216.txt
7915119464,20260306190005,2026-03-06T19:00:05Z,15500,2019,BMW,X3,108950,,,,,,,,scrapes/20260306190005/7915119464.txt
7915119548,20260306080036,2026-03-06T08:00:36Z,4900,2000,Jeep,cherokee,120123,,,,,,,,scrapes/20260306080036/7915119548.txt
7915119686,20260306190005,2026-03-06T19:00:05Z,13900,2015,Mazda,Mazda3,35026,,,,,,,,scrapes/20260306190005/7915119686.txt
7915297327,20260308100006,2026-03-08T10:00:06Z,16995,2021,BMW,3 Series 330e iPerformance,84355,,,,,,,,scrapes/20260308100006/7915297327.txt
7915335593,20260308210039,2026-03-08T21:00:39Z,19500,2021,Nissan,Maxima,81100,,,,,,,,scrapes/20260308210039/7915335593.txt
7915389534,20260308230006,2026-03-08T23:00:06Z,8800,2017,Volkswagen,Golf GTI Autobahn,148000,,,,,,,,scrapes/20260308230006/7915389534.txt
7915610059,20260311220028,2026-03-11T22:00:28Z,9885,2016,BMW,X3 2.8i X-drive Premium SUV,124000,,,,,,,,scrapes/20260311220028/7915610059.txt
7915610960,20260312040006,2026-03-12T04:00:06Z,13500,2017,Ram,ProMaster 2500,173128,,,,,,,,scrapes/20260312040006/7915610960.txt
7915781671,20260312130018,2026-03-12T13:00:18Z,5500,2006,bmw,325i,134000,,,,,,,,scrapes/20260312130018/7915781671.txt
7915803004,20260312120038,2026-03-12T12:00:38Z,12000,2015,Subaru,Forester,88403,,,,,,,,scrapes/20260312120038/7915803004.txt
7915989257,20260312100005,2026-03-12T10:00:05Z,11500,1994,Suzuki,Carry,34000,,,,,,,,scrapes/20260312100005/7915989257.txt
7916184534,20260312140037,2026-03-12T14:00:37Z,5995,2010,Subaru,Forester,138411,,,,,,,,scrapes/20260312140037/7916184534.txt
7916199814,20260312140037,2026-03-12T14:00:37Z,10500,2015,Chevy,Express 2500,116120,,,,,,,,scrapes/20260312140037/7916199814.txt
7916329599,20260312140037,2026-03-12T14:00:37Z,4200,2006,Jeep,Grand Cherokee,97000,,,,,,,,scrapes/20260312140037/7916329599.txt
7916392627,20260312150026,2026-03-12T15:00:26Z,3900,2013,Nissan,Versa,121347,,,,,,,,scrapes/20260312150026/7916392627.txt
7916392937,20260312070005,2026-03-12T07:00:05Z,7900,2014,Toyota,Camry,132000,,,,,,,,scrapes/20260312070005/7916392937.txt
7916393408,20260312150026,2026-03-12T15:00:26Z,10900,2014,Subaru,XV CrossTrek,124824,,,,,,,,scrapes/20260312150026/7916393408.txt
7916481977,20260313010014,2026-03-13T01:00:14Z,12500,1983,ford,f-250,80000,,,,,,,,scrapes/20260313010014/7916481977.txt
7916562598,20260313130036,2026-03-13T13:00:36Z,10000,2013,jeep,wrangler,102000,,,,,,,,scrapes/20260313130036/7916562598.txt
7916607914,20260310110006,2026-03-10T11:00:06Z,9998,2016,Subaru,Crosstrek,147973,,,,,,,,scrapes/20260310110006/7916607914.txt
7916657456,20260304010002,2026-03-04T01:00:02Z,24900,2019,toyota,4runner trd off-road premium,148450,,,,,,,,scrapes/20260304010002/7916657456.txt
7916662009,20260314110035,2026-03-14T11:00:35Z,27495,2022,Mercedes-benz,C-class,38292,,,,,,,,scrapes/20260314110035/7916662009.txt
7916702899,20260314100043,2026-03-14T10:00:43Z,15395,2018,Tesla,Model 3,75512,,,,,,,,scrapes/20260314100043/7916702899.txt
7916950029,20260314080030,2026-03-14T08:00:30Z,1500,2011,Honda,CRZ-EX,250000,,,,,,,,scrapes/20260314080030/7916950029.txt
7917020336,20260307060041,2026-03-07T06:00:41Z,9885,2017,Ford,Explorer Limited 4WD SUV,125000,,,,,,,,scrapes/20260307060041/7917020336.txt
7917032892,20260314080030,2026-03-14T08:00:30Z,1950,2005,chevrolet,tahoe,187000,,,,,,,,scrapes/20260314080030/7917032892.txt
7917251733,20260306140044,2026-03-06T14:00:44Z,2000,2016,chevy,silverado 1500,90000,,,,,,,,scrapes/20260306140044/7917251733.txt
7917251881,20260305010005,2026-03-05T01:00:05Z,,2018,Acura,TLX a-spec,30000,,,,,,,,scrapes/20260305010005/7917251881.txt
7917360220,20260315010005,2026-03-15T01:00:05Z,17990,2019,Jeep,Grand Cherokee,118037,,,,,,,,scrapes/20260315010005/7917360220.txt
7917362475,20260305090023,2026-03-05T09:00:23Z,21500,2021,Jeep,Grand Cherokee L,114305,,,,,,,,scrapes/20260305090023/7917362475.txt
7917362563,20260305080033,2026-03-05T08:00:33Z,11900,2014,Acura,MDX,145379,,,,,,,,scrapes/20260305080033/7917362563.txt
